[2026-03-12 14:47:00.059] Controller: Jewelry | Action: Get | User: tamarRotan | Duration: 0ms
[2026-03-12 14:47:08.189] Controller: User | Action: Get | User: tamarRotan | Duration: 0ms
[2026-03-12 14:47:33.564] Controller: User | Action: Update | User: tamarRotan | Duration: 7ms
[2026-03-12 14:47:33.575] Controller: User | Action: Get | User: tamarRotan | Duration: 0ms
[2026-03-12 14:47:37.736] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 0ms
[2026-03-12 14:47:37.737] Controller: Jewelry | Action: Get | User: tamarRotan | Duration: 0ms
[2026-03-12 14:47:37.743] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 0ms
[2026-03-12 14:47:37.746] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 0ms
[2026-03-12 14:47:37.746] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 0ms
[2026-03-12 14:47:39.750] Controller: Auth | Action: GetGoogleId | User: Anonymous | Duration: 11ms
[2026-03-12 14:47:57.563] Controller: Auth | Action: Login | User: Anonymous | Duration: 0ms
[2026-03-12 14:47:57.614] Controller: Unknown | Action: Unknown | User: chani | Duration: 0ms
[2026-03-12 14:47:57.615] Controller: Jewelry | Action: Get | User: chani | Duration: 0ms
[2026-03-12 14:47:57.618] Controller: Unknown | Action: Unknown | User: chani | Duration: 0ms
[2026-03-12 14:47:57.621] Controller: Unknown | Action: Unknown | User: chani | Duration: 0ms
[2026-03-12 14:47:57.621] Controller: Unknown | Action: Unknown | User: chani | Duration: 0ms
[2026-03-12 14:48:00.050] Controller: User | Action: Get | User: chani | Duration: 0ms
[2026-03-12 14:48:06.205] Controller: Jewelry | Action: Get | User: chani | Duration: 0ms
[2026-03-12 14:48:06.206] Controller: Unknown | Action: Unknown | User: chani | Duration: 0ms
[2026-03-12 14:48:06.214] Controller: Unknown | Action: Unknown | User: chani | Duration: 0ms
[2026-03-12 14:48:06.217] Controller: Unknown | Action: Unknown | User: chani | Duration: 0ms
[2026-03-12 14:48:06.218] Controller: Unknown | Action: Unknown | User: chani | Duration: 0ms
[2026-03-12 14:47:00.059] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 68117ms
[2026-03-12 14:48:23.744] Controller: Jewelry | Action: Delete | User: chani | Duration: 9ms
[2026-03-12 14:47:37.750] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 46004ms
[2026-03-12 14:48:06.221] Controller: Unknown | Action: Unknown | User: chani | Duration: 17533ms
