[2026-03-11 19:27:10.006] Controller: Auth | Action: GoogleLogin | User: Anonymous | Duration: 1ms
[2026-03-11 19:27:10.078] Controller: Jewelry | Action: Get | User: שירה שמש | Duration: 0ms
[2026-03-11 19:27:10.078] Controller: Unknown | Action: Unknown | User: שירה שמש | Duration: 0ms
[2026-03-11 19:27:10.109] Controller: Unknown | Action: Unknown | User: שירה שמש | Duration: 0ms
[2026-03-11 19:27:10.112] Controller: Unknown | Action: Unknown | User: שירה שמש | Duration: 0ms
[2026-03-11 19:27:10.112] Controller: Unknown | Action: Unknown | User: שירה שמש | Duration: 0ms
[2026-03-11 19:27:15.005] Controller: Unknown | Action: Unknown | User: Anonymous | Duration: 0ms
[2026-03-11 19:27:10.115] Controller: Unknown | Action: Unknown | User: שירה שמש | Duration: 90006ms
[2026-03-11 19:28:40.128] Controller: Unknown | Action: Unknown | User: שירה שמש | Duration: 89998ms
[2026-03-11 19:30:10.132] Controller: Unknown | Action: Unknown | User: שירה שמש | Duration: 33190ms
[2026-03-11 19:30:46.037] Controller: Unknown | Action: Unknown | User: שירה שמש | Duration: 37ms
[2026-03-11 19:30:46.081] Controller: Unknown | Action: Unknown | User: שירה שמש | Duration: 4ms
[2026-03-11 19:30:46.101] Controller: Unknown | Action: Unknown | User: שירה שמש | Duration: 2ms
[2026-03-11 19:30:46.104] Controller: Unknown | Action: Unknown | User: שירה שמש | Duration: 2ms
[2026-03-11 19:30:46.114] Controller: Unknown | Action: Unknown | User: שירה שמש | Duration: 90010ms
[2026-03-11 19:32:16.142] Controller: Unknown | Action: Unknown | User: שירה שמש | Duration: 64543ms
[2026-03-11 19:33:36.826] Controller: Auth | Action: GetGoogleId | User: Anonymous | Duration: 51ms
[2026-03-11 19:33:39.104] Controller: Unknown | Action: Unknown | User: שירה שמש | Duration: 88ms
[2026-03-11 19:33:39.215] Controller: Unknown | Action: Unknown | User: שירה שמש | Duration: 14ms
[2026-03-11 19:33:39.250] Controller: Unknown | Action: Unknown | User: שירה שמש | Duration: 3ms
[2026-03-11 19:33:39.250] Controller: Unknown | Action: Unknown | User: שירה שמש | Duration: 10ms
[2026-03-11 19:33:42.566] Controller: Auth | Action: GoogleLogin | User: Anonymous | Duration: 611ms
[2026-03-11 19:33:43.240] Controller: Unknown | Action: Unknown | User: שירה שמש | Duration: 0ms
[2026-03-11 19:33:43.238] Controller: Jewelry | Action: Get | User: שירה שמש | Duration: 39ms
[2026-03-11 19:33:43.278] Controller: Unknown | Action: Unknown | User: שירה שמש | Duration: 1ms
[2026-03-11 19:33:43.283] Controller: Unknown | Action: Unknown | User: שירה שמש | Duration: 0ms
[2026-03-11 19:33:43.283] Controller: Unknown | Action: Unknown | User: שירה שמש | Duration: 1ms
[2026-03-11 19:33:39.281] Controller: Unknown | Action: Unknown | User: שירה שמש | Duration: 90016ms
[2026-03-11 19:33:43.286] Controller: Unknown | Action: Unknown | User: שירה שמש | Duration: 90001ms
[2026-03-11 19:35:09.329] Controller: Unknown | Action: Unknown | User: שירה שמש | Duration: 90007ms
[2026-03-11 19:35:13.308] Controller: Unknown | Action: Unknown | User: שירה שמש | Duration: 90003ms
